Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
19:17:30:16.060,61,0.0701974183,0.1808944494,0.0764748603,0.0000000000,0.0000000000,0.0485400893,0.0000000000,0.0703586489,0.1811109483,0.0377229638,0.0000000000,0.0000000000,0.0485419929,0.0000000000,0.0992725492,0.0000000000,0.0016218496,0.0671818405,0.0768140927,0.1978783160,0.1608585417,0.0000000000,0.0036100317,0.0000000000,0.0000000000,0.3008560836,0.2895976603,0.0207518917,0.0214728769,0.1113239452,0.1183117479,0.1106116325,0.0251197293,0.3510119021,0.2382133156,0.0577676706,0.0627764091,0.0621202514,0.0557123944,0.0384316258,0.0406677611,0.0000000000,0.0000000000,0.0900999755,0.0536436141,0.0535775833,0.0533231795,0.0678732768,0.0728900209,0.1233650371,0.1313760281,0.0000000883,-0.0281175412,0.0141277434,0.0182958953,-0.0229027383,0.1106635258,-0.0025446673,0.0464307070,0.1106218398,0.0051554060
19:17:30:17.060,61,0.0692721605,0.1797093153,0.0781449452,0.0000000000,0.0000000000,0.0483752824,0.0000000000,0.0694269240,0.1799376905,0.0359896794,0.0000000000,0.0000000000,0.0483772345,0.0000000000,0.0935310870,0.0000000000,0.0016772195,0.0678291991,0.0777337998,0.1916142702,0.1616180539,0.0000000000,0.0033246821,0.0000000000,0.0000000000,0.2372037023,0.2254798710,0.0207898319,0.0214938298,0.1112048551,0.1181065887,0.1107843593,0.0252421275,0.3290683031,0.2213441730,0.0576702692,0.0626376867,0.0624629259,0.0559466481,0.0383078232,0.0405262485,0.0000000000,0.0000000000,0.0898756757,0.0538208522,0.0537562445,0.0534845553,0.0680680722,0.0729900822,0.1235640422,0.1315628141,0.0000001082,-0.0276996307,0.0139568346,0.0181878339,-0.0218521487,0.1099440455,-0.0024120442,0.0474484637,0.1099023595,0.0052337837
19:17:30:18.061,61,0.0685700402,0.1793145388,0.0801183507,0.0000000000,0.0000000000,0.0482458360,0.0000000000,0.0687213168,0.1795576066,0.0339711532,0.0000000000,0.0000000000,0.0482478216,0.0000000000,0.0887700021,0.0000000000,0.0017790118,0.0684287548,0.0785034969,0.1880909503,0.1619335711,0.0000000000,0.0030719200,0.0000000000,0.0000000000,0.2179830372,0.2062687129,0.0208599716,0.0215491112,0.1109579951,0.1177580357,0.1107556447,0.0253732949,0.3213232756,0.2140467465,0.0574898124,0.0624073707,0.0627558231,0.0561472662,0.0381713808,0.0403768718,0.0000000000,0.0000000000,0.0895543471,0.0538871810,0.0538243316,0.0535940081,0.0682872310,0.0730993077,0.1235623434,0.1315417886,0.0000001169,-0.0277593043,0.0141530838,0.0184768476,-0.0206270721,0.1097089425,-0.0022719321,0.0486479774,0.1096673012,0.0053544198
19:17:30:19.061,61,0.0679520220,0.1792455316,0.0813255161,0.0000000000,0.0000000000,0.0479900576,0.0000000000,0.0680992156,0.1794978231,0.0326991715,0.0000000000,0.0000000000,0.0479920730,0.0000000000,0.0805306211,0.0000000000,0.0018277611,0.0686841905,0.0788348690,0.1666307300,0.1610313356,0.0000000000,0.0027175141,0.0000000000,0.0000000000,0.1834612936,0.1716838628,0.0209238529,0.0215945039,0.1085634008,0.1134353206,0.1099553257,0.0254353266,0.3004227281,0.1992557049,0.0571806356,0.0620522127,0.0627518445,0.0560796224,0.0378729589,0.0400626510,0.0000000000,0.0000000000,0.0888350755,0.0541358143,0.0540745705,0.0535741672,0.0683130994,0.0730004013,0.1207188070,0.1279093772,0.0000001101,-0.0277038645,0.0142326448,0.0183175076,-0.0198548138,0.1096706912,-0.0021861163,0.0493811816,0.1096290499,0.0054331422
19:17:30:20.061,61,0.0676513985,0.1801445484,0.0827836320,0.0000000000,0.0000000000,0.0477934480,0.0000000000,0.0677939206,0.1804088503,0.0312234182,0.0000000000,0.0000000000,0.0477955602,0.0000000000,0.0774250999,0.0000000000,0.0018874016,0.0691115931,0.0793256015,0.1611051857,0.1612394452,0.0000000000,0.0024212254,0.0000000000,0.0000000000,0.1697363853,0.1577099413,0.0210852865,0.0217393972,0.1072815210,0.1113267243,0.1096272841,0.0255744141,0.2943728268,0.1945069879,0.0571722984,0.0620259345,0.0628502369,0.0561266094,0.0376925878,0.0398791097,0.0000000000,0.0000000000,0.0882979780,0.0541021526,0.0540419854,0.0538406707,0.0686014593,0.0731569976,0.1196816042,0.1266763955,0.0000000885,-0.0278872177,0.0141455904,0.0187733043,-0.0189575814,0.1102253869,-0.0020979817,0.0502635092,0.1101837829,0.0055583459
19:17:30:21.061,61,0.0677165091,0.1805422604,0.0844498277,0.0000000000,0.0000000000,0.0476792119,0.0000000000,0.0678541660,0.1808198392,0.0294853840,0.0000000000,0.0000000000,0.0476815775,0.0000000000,0.0749327764,0.0000000000,0.0020069240,0.0695502609,0.0798673704,0.1598481685,0.1654030383,0.0000000000,0.0019897080,0.0000000000,0.0000000000,0.1373847574,0.1321418434,0.0213351399,0.0219654199,0.1059235036,0.1093030348,0.1094245836,0.0257398169,0.2913371027,0.1917988658,0.0575570688,0.0624128878,0.0630371645,0.0562605783,0.0375767350,0.0397437140,0.0000000000,0.0000000000,0.0878783017,0.0536657013,0.0536060147,0.0566525236,0.0702532753,0.0739721805,0.1188736781,0.1257490367,0.0000000731,-0.0279494636,0.0142846080,0.0196792819,-0.0179018229,0.1104743481,-0.0019856684,0.0512737744,0.1104327142,0.0056828810
19:17:30:22.061,61,0.0680143610,0.1821426600,0.0857694671,0.0000000000,0.0000000000,0.0474419594,0.0000000000,0.0681458637,0.1824321896,0.0281709693,0.0000000000,0.0000000000,0.0474444777,0.0000000000,0.0720691085,0.0000000000,0.0020399301,0.0697889775,0.0802137703,0.1586026996,0.1661337465,0.0000000000,0.0018530174,0.0000000000,0.0000000000,0.1240867227,0.1135818884,0.0215981808,0.0222260188,0.1047807112,0.1079782471,0.1089757979,0.0258652624,0.2830279171,0.1820993572,0.0577718578,0.0626234114,0.0632256642,0.0564225540,0.0373190306,0.0394893810,0.0000000000,0.0000000000,0.0873728096,0.0531633049,0.0531048514,0.0578766055,0.0711423904,0.0745961219,0.1163270250,0.1231887862,0.0000000913,-0.0275586378,0.0143724140,0.0203917902,-0.0171019100,0.1114578620,-0.0019139791,0.0520693101,0.1114162505,0.0058227954
19:17:30:23.061,61,0.0683945343,0.1837245375,0.0861861557,0.0000000000,0.0000000000,0.0471980758,0.0000000000,0.0685195550,0.1840191185,0.0277590640,0.0000000000,0.0000000000,0.0472007133,0.0000000000,0.0697453022,0.0000000000,0.0020614506,0.0700869188,0.0807198137,0.1581492424,0.1660050452,0.0000000000,0.0017728193,0.0000000000,0.0000000000,0.1120032966,0.1006134674,0.0219098311,0.0225467347,0.1041064858,0.1072392389,0.1073815376,0.0260112882,0.2661525309,0.1667404771,0.0577194989,0.0625325218,0.0637108982,0.0568539724,0.0370103233,0.0391765125,0.0000000000,0.0000000000,0.0869458094,0.0528416038,0.0527847856,0.0582749732,0.0719972849,0.0752764270,0.1152879447,0.1221318468,0.0000002223,-0.0275802370,0.0148991039,0.0213729031,-0.0168500133,0.1124269217,-0.0019023251,0.0523166023,0.1123853624,0.0059017390
19:17:30:24.061,61,0.0698719546,0.1855213791,0.0861781389,0.0000000000,0.0000000000,0.0470871069,0.0000000000,0.0699895844,0.1858179867,0.0278311558,0.0000000000,0.0000000000,0.0470898822,0.0000000000,0.0688954443,0.0000000000,0.0020894159,0.0779645890,0.0954909176,0.1806834936,0.1664392054,0.0000000000,0.0021983681,0.0000000000,0.0000000000,0.1053532138,0.0912378430,0.0224321559,0.0231093932,0.1041167006,0.1073913276,0.1070994735,0.0265420806,0.2492825836,0.1468293667,0.0576781221,0.0624627396,0.0749648288,0.0656402707,0.0367373936,0.0389456414,0.0000000000,0.0000000000,0.0867134705,0.0525918603,0.0525324233,0.0587017797,0.0759894401,0.0796097517,0.1152102202,0.1223630980,0.0000003180,-0.0280504618,0.0156106660,0.0209344309,-0.0168916695,0.1135260239,-0.0019258311,0.0523052253,0.1134844348,0.0059586549
19:17:30:25.062,61,0.0739359781,0.1922004521,0.0838261694,0.0000000000,0.0000000000,0.0469806679,0.0000000000,0.0740352571,0.1924855858,0.0304145776,0.0000000000,0.0000000000,0.0469836481,0.0000000000,0.0689254478,0.0000000000,0.0021000230,0.0926724598,0.1168732271,0.2037749290,0.1665797234,0.0000000000,0.0023731571,0.0000000000,0.0000000000,0.1024947092,0.0875946507,0.0230850019,0.0238986053,0.1107158065,0.1164582148,0.1072138846,0.0275107436,0.2380481809,0.1366517395,0.0573304594,0.0620617345,0.0957755744,0.0840649307,0.0367138572,0.0389283150,0.0000000000,0.0000000000,0.0887487978,0.0618337095,0.0617306493,0.0580930300,0.0827047825,0.0862612426,0.1331096143,0.1414048523,0.0000003882,-0.0293269493,0.0176046118,0.0186084714,-0.0184509102,0.1176028699,-0.0021798119,0.0508536622,0.1175612733,0.0060034553
19:17:30:26.062,61,0.0778052881,0.2100926489,0.0816222504,0.0000000000,0.0000000000,0.0466732681,0.0000000000,0.0778689682,0.2103765458,0.0331892781,0.0000000000,0.0000000000,0.0466763005,0.0000000000,0.0769087598,0.0000000000,0.0024166270,0.1167684048,0.1456891298,0.2249271721,0.1667821407,0.0000000000,0.0022794842,0.0000000000,0.0000000000,0.1099874154,0.0977262482,0.0239803921,0.0248297136,0.1217879057,0.1288342923,0.1104755476,0.0300768074,0.2288513333,0.1290303767,0.0567430034,0.0609789602,0.1158339754,0.1046685576,0.0369333066,0.0391165875,0.0000000000,0.0000000000,0.1017389297,0.0925815329,0.0924651474,0.0557338409,0.0896085426,0.0920989737,0.1564652622,0.1624913663,0.0000005587,-0.0313330628,0.0214183945,0.0146947699,-0.0201069713,0.1285378635,-0.0025986547,0.0494498126,0.1284962595,0.0063866284
19:17:30:27.062,61,0.0863546133,0.2273568362,0.0808014125,0.0000000000,0.0000000000,0.0463047922,0.0000000000,0.0863625482,0.2276491374,0.0343064591,0.0000000000,0.0000000000,0.0463078022,0.0000000000,0.0859044194,0.0000000000,0.0029453572,0.1259969026,0.1594535261,0.2700256109,0.1668850631,0.0000000000,0.0015032077,0.0000000000,0.0000000000,0.1121002510,0.1027873755,0.0258351080,0.0264536124,0.1400729716,0.1436506212,0.1112834588,0.0327328406,0.2030706406,0.1161870956,0.0558989793,0.0594143271,0.1588672400,0.1448691338,0.0374475978,0.0395367630,0.0000000000,0.0000000000,0.1240883321,0.1110638082,0.1110149249,0.0528822616,0.0959218368,0.0968171060,0.1641648710,0.1695845425,0.0000005429,-0.0310670268,0.0304106809,0.0100415507,-0.0207542852,0.1390931010,-0.0029053232,0.0488831252,0.1390515864,0.0068385960
19:17:30:28.062,61,0.0911404938,0.2504324615,0.0830672011,0.0000000000,0.0000000000,0.0456249975,0.0000000000,0.0911214575,0.2507696450,0.0323852450,0.0000000000,0.0000000000,0.0456279740,0.0000000000,0.0906659812,0.0000000000,0.0035462216,0.1354523450,0.1694149673,0.3521204591,0.2090346962,0.0000000000,0.0009958631,0.0000000000,0.0000000000,0.1198217794,0.1146800965,0.0268347096,0.0273935683,0.1462176889,0.1500875354,0.0995374024,0.0340808779,0.1952967793,0.1119388938,0.0552284457,0.0584432594,0.1719598323,0.1574789882,0.0430551544,0.0445261113,0.0000000000,0.0000000000,0.1335824132,0.1184942797,0.1184628978,0.0515060686,0.0996532217,0.1002860740,0.1709875911,0.1750217527,0.0000004459,-0.0295751151,0.0426424481,0.0036418356,-0.0195513312,0.1532159895,-0.0030190377,0.0501497574,0.1531745940,0.0077389162
19:17:30:29.062,61,0.0988138393,0.2730185390,0.0882287845,0.0000000000,0.0000000000,0.0443383232,0.0000000000,0.0987516418,0.2734379768,0.0274212901,0.0000000000,0.0000000000,0.0443407595,0.0000000000,0.0970240906,0.0000000000,0.0089560971,0.1785395741,0.1798349619,0.3814577460,0.2164367586,0.0000000000,0.0007067047,0.0000000000,0.0000000000,0.1219767556,0.1185639724,0.0289724637,0.0295707118,0.1495019943,0.1534705907,0.0706175491,0.0364946499,0.1569081843,0.1080085635,0.0527206026,0.0547420755,0.2619065940,0.2486346811,0.0733283535,0.0767461434,0.0000000000,0.0000000000,0.1381660700,0.1268129647,0.1268078238,0.0435248353,0.1013919637,0.1017270014,0.1784230620,0.1804462522,0.0000003607,-0.0271163452,0.0620123036,-0.0022752474,-0.0165175647,0.1670567840,-0.0027851963,0.0531473793,0.1670155972,0.0089554489
19:17:31:00.062,61,0.1031919569,0.2931253016,0.0936040282,0.0000000000,0.0000000000,0.0426418744,0.0000000000,0.1030810103,0.2936360836,0.0219235439,0.0000000000,0.0000000000,0.0426437110,0.0000000000,0.0998793244,0.0000000000,0.0111034168,0.1902685016,0.1838341057,0.3924872279,0.2166388780,0.0000000000,0.0002122502,0.0000000000,0.0000000000,0.1231740490,0.1218603626,0.0301093999,0.0306948908,0.1530869305,0.1589481533,0.0622509196,0.0374798402,0.1465048343,0.1061845496,0.0499991849,0.0513715781,0.2584686577,0.2381242961,0.0816950575,0.0854562074,0.0000000000,0.0000000000,0.1408355236,0.1310136616,0.1310234666,0.0394230038,0.1017743424,0.1015511602,0.1756235212,0.1777673215,0.0000001451,-0.0231100824,0.0775742084,-0.0044083865,-0.0131774535,0.1793878525,-0.0023894883,0.0562642626,0.1793469787,0.0101946918
19:17:31:01.062,61,0.1053286344,0.3025150597,0.1044646949,0.0000000000,0.0000000000,0.0411897898,0.0000000000,0.1052012742,0.3031780720,0.0109742656,0.0000000000,0.0000000000,0.0411911346,0.0000000000,0.1013997346,0.0000000000,0.0134507529,0.1841293275,0.1853967607,0.3845979869,0.1989917755,0.0002597305,0.0000000000,0.0000000000,0.0000000000,0.1236316934,0.1234528199,0.0310732350,0.0316460058,0.1553510427,0.1630522311,0.0581036173,0.0380177461,0.1505416185,0.1055216864,0.0483289622,0.0493685715,0.2520866990,0.2344811857,0.0860619321,0.0899354145,0.0000000000,0.0000000000,0.1425196826,0.1339773685,0.1339936852,0.0368719660,0.1014911532,0.1003968269,0.1750511229,0.1772127301,0.0000000132,-0.0172876567,0.0924135596,-0.0033670368,-0.0065891556,0.1852050424,-0.0012344824,0.0627259016,0.1851643175,0.0117409406
19:17:31:02.062,61,0.1067181677,0.3127719760,0.1148141772,0.0000000000,0.0000000000,0.0396973938,0.0000000000,0.1065807268,0.3135905266,0.0004905760,0.0000000000,0.0000000000,0.0396982916,0.0000000000,0.1018940359,0.0000000000,0.0151974568,0.1632104814,0.1781711280,0.3562089503,0.1857479066,0.0007544896,0.0000000000,0.0000000000,0.0000000000,0.1210193485,0.1237455830,0.0319024622,0.0324657634,0.1566137522,0.1649940610,0.0563069582,0.0381591916,0.1657228172,0.1075838655,0.0472196490,0.0481097251,0.2309746295,0.2138511389,0.0882883221,0.0921420231,0.0000000000,0.0000000000,0.1435884982,0.1373088062,0.1373329163,0.0352275744,0.0988818705,0.0962179676,0.1715037525,0.1755448133,0.0000000020,-0.0100694476,0.1015280932,0.0005335322,-0.0002941942,0.1915615797,-0.0000570559,0.0688577145,0.1915210038,0.0133400019
19:17:31:03.063,61,0.1076269224,0.3158561885,0.1207883507,0.0000000000,0.0000000000,0.0387155265,0.0000000000,0.1074871421,0.3167610466,0.0000000000,0.0056108618,0.0000000000,0.0387161337,0.0000000000,0.1018350869,0.0000000000,0.0200992152,0.1369091868,0.1602391452,0.3492072225,0.1766385138,0.0012200053,0.0000000000,0.0000000000,0.0000000000,0.1262528151,0.1397818178,0.0324552059,0.0329975039,0.1571497023,0.1662738323,0.0617421269,0.0379275195,0.2419080734,0.1654259413,0.0466352366,0.0474311970,0.1799925268,0.1659373790,0.0899407119,0.0936086327,0.0000000000,0.0000000000,0.1495217234,0.1606877297,0.1606922448,0.0341392085,0.0977543220,0.0939416885,0.1806291938,0.1865015179,0.0000000014,-0.0012868552,0.1083398536,0.0059321872,0.0033635153,0.1934994161,0.0006590834,0.0724138170,0.1934590042,0.0141731845
